0xA140    　    U+3000    0xE38080    0x0030
0xA141    ，    U+FF0C    0xEFBC8C    0x0CFF
0xA142    、    U+3001    0xE38081    0x0130
0xA143    。    U+3002    0xE38082    0x0230
0xA144    ．    U+FF0E    0xEFBC8E    0x0EFF
0xA145    •    U+2022    0xE280A2    0x2220
0xA146    ；    U+FF1B    0xEFBC9B    0x1BFF
0xA147    ：    U+FF1A    0xEFBC9A    0x1AFF
0xA148    ？    U+FF1F    0xEFBC9F    0x1FFF
0xA149    ！    U+FF01    0xEFBC81    0x01FF
0xA14A    ︰    U+FE30    0xEFB8B0    0x30FE
0xA14B    …    U+2026    0xE280A6    0x2620
0xA14C    ‥    U+2025    0xE280A5    0x2520
0xA14D    ﹐    U+FE50    0xEFB990    0x50FE
0xA14E    ､    U+FF64    0xEFBDA4    0x64FF
0xA14F    ﹒    U+FE52    0xEFB992    0x52FE
0xA150    ·    U+00B7    0xC2B7    0xB700
0xA151    ﹔    U+FE54    0xEFB994    0x54FE
0xA152    ﹕    U+FE55    0xEFB995    0x55FE
0xA153    ﹖    U+FE56    0xEFB996    0x56FE
0xA154    ﹗    U+FE57    0xEFB997    0x57FE
0xA155    ｜    U+FF5C    0xEFBD9C    0x5CFF
0xA156    –    U+2013    0xE28093    0x1320
0xA157    ︱    U+FE31    0xEFB8B1    0x31FE
0xA158    —    U+2014    0xE28094    0x1420
0xA159    ︳    U+FE33    0xEFB8B3    0x33FE
0xA15A    ╴    U+2574    0xE295B4    0x7425
0xA15B    ︴    U+FE34    0xEFB8B4    0x34FE
0xA15C    ﹏    U+FE4F    0xEFB98F    0x4FFE
0xA15D    （    U+FF08    0xEFBC88    0x08FF
0xA15E    ）    U+FF09    0xEFBC89    0x09FF
0xA15F    ︵    U+FE35    0xEFB8B5    0x35FE
0xA160    ︶    U+FE36    0xEFB8B6    0x36FE
0xA161    ｛    U+FF5B    0xEFBD9B    0x5BFF
0xA162    ｝    U+FF5D    0xEFBD9D    0x5DFF
0xA163    ︷    U+FE37    0xEFB8B7    0x37FE
0xA164    ︸    U+FE38    0xEFB8B8    0x38FE
0xA165    〔    U+3014    0xE38094    0x1430
0xA166    〕    U+3015    0xE38095    0x1530
0xA167    ︹    U+FE39    0xEFB8B9    0x39FE
0xA168    ︺    U+FE3A    0xEFB8BA    0x3AFE
0xA169    【    U+3010    0xE38090    0x1030
0xA16A    】    U+3011    0xE38091    0x1130
0xA16B    ︻    U+FE3B    0xEFB8BB    0x3BFE
0xA16C    ︼    U+FE3C    0xEFB8BC    0x3CFE
0xA16D    《    U+300A    0xE3808A    0x0A30
0xA16E    》    U+300B    0xE3808B    0x0B30
0xA16F    ︽    U+FE3D    0xEFB8BD    0x3DFE
0xA170    ︾    U+FE3E    0xEFB8BE    0x3EFE
0xA171    〈    U+3008    0xE38088    0x0830
0xA172    〉    U+3009    0xE38089    0x0930
0xA173    ︿    U+FE3F    0xEFB8BF    0x3FFE
0xA174    ﹀    U+FE40    0xEFB980    0x40FE
0xA175    「    U+300C    0xE3808C    0x0C30
0xA176    」    U+300D    0xE3808D    0x0D30
0xA177    ﹁    U+FE41    0xEFB981    0x41FE
0xA178    ﹂    U+FE42    0xEFB982    0x42FE
0xA179    『    U+300E    0xE3808E    0x0E30
0xA17A    』    U+300F    0xE3808F    0x0F30
0xA17B    ﹃    U+FE43    0xEFB983    0x43FE
0xA17C    ﹄    U+FE44    0xEFB984    0x44FE
0xA17D    ﹙    U+FE59    0xEFB999    0x59FE
0xA17E    ﹚    U+FE5A    0xEFB99A    0x5AFE
0xA1A1    ﹛    U+FE5B    0xEFB99B    0x5BFE
0xA1A2    ﹜    U+FE5C    0xEFB99C    0x5CFE
0xA1A3    ﹝    U+FE5D    0xEFB99D    0x5DFE
0xA1A4    ﹞    U+FE5E    0xEFB99E    0x5EFE
0xA1A5    ‘    U+2018    0xE28098    0x1820
0xA1A6    ’    U+2019    0xE28099    0x1920
0xA1A7    “    U+201C    0xE2809C    0x1C20
0xA1A8    ”    U+201D    0xE2809D    0x1D20
0xA1A9    〝    U+301D    0xE3809D    0x1D30
0xA1AA    〞    U+301E    0xE3809E    0x1E30
0xA1AB    ‵    U+2035    0xE280B5    0x3520
0xA1AC    ′    U+2032    0xE280B2    0x3220
0xA1AD    ＃    U+FF03    0xEFBC83    0x03FF
0xA1AE    ＆    U+FF06    0xEFBC86    0x06FF
0xA1AF    ＊    U+FF0A    0xEFBC8A    0x0AFF
0xA1B0    ※    U+203B    0xE280BB    0x3B20
0xA1B1    §    U+00A7    0xC2A7    0xA700
0xA1B2    〃    U+3003    0xE38083    0x0330
0xA1B3    ○    U+25CB    0xE2978B    0xCB25
0xA1B4    ●    U+25CF    0xE2978F    0xCF25
0xA1B5    △    U+25B3    0xE296B3    0xB325
0xA1B6    ▲    U+25B2    0xE296B2    0xB225
0xA1B7    ◎    U+25CE    0xE2978E    0xCE25
0xA1B8    ☆    U+2606    0xE29886    0x0626
0xA1B9    ★    U+2605    0xE29885    0x0526
0xA1BA    ◇    U+25C7    0xE29787    0xC725
0xA1BB    ◆    U+25C6    0xE29786    0xC625
0xA1BC    □    U+25A1    0xE296A1    0xA125
0xA1BD    ■    U+25A0    0xE296A0    0xA025
0xA1BE    ▽    U+25BD    0xE296BD    0xBD25
0xA1BF    ▼    U+25BC    0xE296BC    0xBC25
0xA1C0    ㊣    U+32A3    0xE38AA3    0xA332
0xA1C1    ℅    U+2105    0xE28485    0x0521
0xA1C2    ‾    U+203E    0xE280BE    0x3E20
0xA1C3    ￣    U+FFE3    0xEFBFA3    0xE3FF
0xA1C4    ＿    U+FF3F    0xEFBCBF    0x3FFF
0xA1C5    ˍ    U+02CD    0xCB8D    0xCD02
0xA1C6    ﹉    U+FE49    0xEFB989    0x49FE
0xA1C7    ﹊    U+FE4A    0xEFB98A    0x4AFE
0xA1C8    ﹍    U+FE4D    0xEFB98D    0x4DFE
0xA1C9    ﹎    U+FE4E    0xEFB98E    0x4EFE
0xA1CA    ﹋    U+FE4B    0xEFB98B    0x4BFE
0xA1CB    ﹌    U+FE4C    0xEFB98C    0x4CFE
0xA1CC    ﹟    U+FE5F    0xEFB99F    0x5FFE
0xA1CD    ﹠    U+FE60    0xEFB9A0    0x60FE
0xA1CE    ﹡    U+FE61    0xEFB9A1    0x61FE
0xA1CF    ＋    U+FF0B    0xEFBC8B    0x0BFF
0xA1D0    －    U+FF0D    0xEFBC8D    0x0DFF
0xA1D1    ×    U+00D7    0xC397    0xD700
0xA1D2    ÷    U+00F7    0xC3B7    0xF700
0xA1D3    ±    U+00B1    0xC2B1    0xB100
0xA1D4    √    U+221A    0xE2889A    0x1A22
0xA1D5    ＜    U+FF1C    0xEFBC9C    0x1CFF
0xA1D6    ＞    U+FF1E    0xEFBC9E    0x1EFF
0xA1D7    ＝    U+FF1D    0xEFBC9D    0x1DFF
0xA1D8    ≦    U+2266    0xE289A6    0x6622
0xA1D9    ≧    U+2267    0xE289A7    0x6722
0xA1DA    ≠    U+2260    0xE289A0    0x6022
0xA1DB    ∞    U+221E    0xE2889E    0x1E22
0xA1DC    ≒    U+2252    0xE28992    0x5222
0xA1DD    ≡    U+2261    0xE289A1    0x6122
0xA1DE    ﹢    U+FE62    0xEFB9A2    0x62FE
0xA1DF    ﹣    U+FE63    0xEFB9A3    0x63FE
0xA1E0    ﹤    U+FE64    0xEFB9A4    0x64FE
0xA1E1    ﹥    U+FE65    0xEFB9A5    0x65FE
0xA1E2    ﹦    U+FE66    0xEFB9A6    0x66FE
0xA1E3    ∼    U+223C    0xE288BC    0x3C22
