0xB0A1    啊    U+554A    0xE5958A    0x4A55
0xB0A2    阿    U+963F    0xE998BF    0x3F96
0xB0A3    埃    U+57C3    0xE59F83    0xC357
0xB0A4    挨    U+6328    0xE68CA8    0x2863
0xB0A5    哎    U+54CE    0xE5938E    0xCE54
0xB0A6    唉    U+5509    0xE59489    0x0955
0xB0A7    哀    U+54C0    0xE59380    0xC054
0xB0A8    皑    U+7691    0xE79A91    0x9176
0xB0A9    癌    U+764C    0xE7998C    0x4C76
0xB0AA    蔼    U+853C    0xE894BC    0x3C85
0xB0AB    矮    U+77EE    0xE79FAE    0xEE77
0xB0AC    艾    U+827E    0xE889BE    0x7E82
0xB0AD    碍    U+788D    0xE7A28D    0x8D78
0xB0AE    爱    U+7231    0xE788B1    0x3172
0xB0AF    隘    U+9698    0xE99A98    0x9896
0xB0B0    鞍    U+978D    0xE99E8D    0x8D97
0xB0B1    氨    U+6C28    0xE6B0A8    0x286C
0xB0B2    安    U+5B89    0xE5AE89    0x895B
0xB0B3    俺    U+4FFA    0xE4BFBA    0xFA4F
0xB0B4    按    U+6309    0xE68C89    0x0963
0xB0B5    暗    U+6697    0xE69A97    0x9766
0xB0B6    岸    U+5CB8    0xE5B2B8    0xB85C
0xB0B7    胺    U+80FA    0xE883BA    0xFA80
0xB0B8    案    U+6848    0xE6A188    0x4868
0xB0B9    肮    U+80AE    0xE882AE    0xAE80
0xB0BA    昂    U+6602    0xE69882    0x0266
0xB0BB    盎    U+76CE    0xE79B8E    0xCE76
0xB0BC    凹    U+51F9    0xE587B9    0xF951
0xB0BD    敖    U+6556    0xE69596    0x5665
0xB0BE    熬    U+71AC    0xE786AC    0xAC71
0xB0BF    翱    U+7FF1    0xE7BFB1    0xF17F
0xB0C0    袄    U+8884    0xE8A284    0x8488
0xB0C1    傲    U+50B2    0xE582B2    0xB250
0xB0C2    奥    U+5965    0xE5A5A5    0x6559
0xB0C3    懊    U+61CA    0xE6878A    0xCA61
0xB0C4    澳    U+6FB3    0xE6BEB3    0xB36F
0xB0C5    芭    U+82AD    0xE88AAD    0xAD82
0xB0C6    捌    U+634C    0xE68D8C    0x4C63
0xB0C7    扒    U+6252    0xE68992    0x5262
0xB0C8    叭    U+53ED    0xE58FAD    0xED53
0xB0C9    吧    U+5427    0xE590A7    0x2754
0xB0CA    笆    U+7B06    0xE7AC86    0x067B
0xB0CB    八    U+516B    0xE585AB    0x6B51
0xB0CC    疤    U+75A4    0xE796A4    0xA475
0xB0CD    巴    U+5DF4    0xE5B7B4    0xF45D
0xB0CE    拔    U+62D4    0xE68B94    0xD462
0xB0CF    跋    U+8DCB    0xE8B78B    0xCB8D
0xB0D0    靶    U+9776    0xE99DB6    0x7697
0xB0D1    把    U+628A    0xE68A8A    0x8A62
0xB0D2    耙    U+8019    0xE88099    0x1980
0xB0D3    坝    U+575D    0xE59D9D    0x5D57
0xB0D4    霸    U+9738    0xE99CB8    0x3897
