0xA1A1    　    U+3000    0xE38080    0x0030
0xA1A2    、    U+3001    0xE38081    0x0130
0xA1A3    。    U+3002    0xE38082    0x0230
0xA1A4    ・    U+30FB    0xE383BB    0xFB30
0xA1A5    ˉ    U+02C9    0xCB89    0xC902
0xA1A6    ˇ    U+02C7    0xCB87    0xC702
0xA1A7    ¨    U+00A8    0xC2A8    0xA800
0xA1A8    〃    U+3003    0xE38083    0x0330
0xA1A9    々    U+3005    0xE38085    0x0530
0xA1AA    ―    U+2015    0xE28095    0x1520
0xA1AB    ～    U+FF5E    0xEFBD9E    0x5EFF
0xA1AC    ‖    U+2016    0xE28096    0x1620
0xA1AD    …    U+2026    0xE280A6    0x2620
0xA1AE    ‘    U+2018    0xE28098    0x1820
0xA1AF    ’    U+2019    0xE28099    0x1920
0xA1B0    “    U+201C    0xE2809C    0x1C20
0xA1B1    ”    U+201D    0xE2809D    0x1D20
0xA1B2    〔    U+3014    0xE38094    0x1430
0xA1B3    〕    U+3015    0xE38095    0x1530
0xA1B4    〈    U+3008    0xE38088    0x0830
0xA1B5    〉    U+3009    0xE38089    0x0930
0xA1B6    《    U+300A    0xE3808A    0x0A30
0xA1B7    》    U+300B    0xE3808B    0x0B30
0xA1B8    「    U+300C    0xE3808C    0x0C30
0xA1B9    」    U+300D    0xE3808D    0x0D30
0xA1BA    『    U+300E    0xE3808E    0x0E30
0xA1BB    』    U+300F    0xE3808F    0x0F30
0xA1BC    〖    U+3016    0xE38096    0x1630
0xA1BD    〗    U+3017    0xE38097    0x1730
0xA1BE    【    U+3010    0xE38090    0x1030
0xA1BF    】    U+3011    0xE38091    0x1130
0xA1C0    ±    U+00B1    0xC2B1    0xB100
0xA1C1    ×    U+00D7    0xC397    0xD700
0xA1C2    ÷    U+00F7    0xC3B7    0xF700
0xA1C3    ∶    U+2236    0xE288B6    0x3622
0xA1C4    ∧    U+2227    0xE288A7    0x2722
0xA1C5    ∨    U+2228    0xE288A8    0x2822
0xA1C6    ∑    U+2211    0xE28891    0x1122
0xA1C7    ∏    U+220F    0xE2888F    0x0F22
0xA1C8    ∪    U+222A    0xE288AA    0x2A22
0xA1C9    ∩    U+2229    0xE288A9    0x2922
0xA1CA    ∈    U+2208    0xE28888    0x0822
0xA1CB    ∷    U+2237    0xE288B7    0x3722
0xA1CC    √    U+221A    0xE2889A    0x1A22
0xA1CD    ⊥    U+22A5    0xE28AA5    0xA522
0xA1CE    ∥    U+2225    0xE288A5    0x2522
0xA1CF    ∠    U+2220    0xE288A0    0x2022
0xA1D0    ⌒    U+2312    0xE28C92    0x1223
0xA1D1    ⊙    U+2299    0xE28A99    0x9922
0xA1D2    ∫    U+222B    0xE288AB    0x2B22
0xA1D3    ∮    U+222E    0xE288AE    0x2E22
0xA1D4    ≡    U+2261    0xE289A1    0x6122
0xA1D5    ≌    U+224C    0xE2898C    0x4C22
0xA1D6    ≈    U+2248    0xE28988    0x4822
0xA1D7    ∽    U+223D    0xE288BD    0x3D22
0xA1D8    ∝    U+221D    0xE2889D    0x1D22
0xA1D9    ≠    U+2260    0xE289A0    0x6022
0xA1DA    ≮    U+226E    0xE289AE    0x6E22
0xA1DB    ≯    U+226F    0xE289AF    0x6F22
0xA1DC    ≤    U+2264    0xE289A4    0x6422
0xA1DD    ≥    U+2265    0xE289A5    0x6522
0xA1DE    ∞    U+221E    0xE2889E    0x1E22
0xA1DF    ∵    U+2235    0xE288B5    0x3522
0xA1E0    ∴    U+2234    0xE288B4    0x3422
0xA1E1    ♂    U+2642    0xE29982    0x4226
0xA1E2    ♀    U+2640    0xE29980    0x4026
0xA1E3    °    U+00B0    0xC2B0    0xB000
0xA1E4    ′    U+2032    0xE280B2    0x3220
0xA1E5    ″    U+2033    0xE280B3    0x3320
0xA1E6    ℃    U+2103    0xE28483    0x0321
0xA1E7    ＄    U+FF04    0xEFBC84    0x04FF
0xA1E8    ¤    U+00A4    0xC2A4    0xA400
0xA1E9    ￠    U+FFE0    0xEFBFA0    0xE0FF
0xA1EA    ￡    U+FFE1    0xEFBFA1    0xE1FF
0xA1EB    ‰    U+2030    0xE280B0    0x3020
0xA1EC    §    U+00A7    0xC2A7    0xA700
0xA1ED    №    U+2116    0xE28496    0x1621
0xA1EE    ☆    U+2606    0xE29886    0x0626
0xA1EF    ★    U+2605    0xE29885    0x0526
0xA1F0    ○    U+25CB    0xE2978B    0xCB25
0xA1F1    ●    U+25CF    0xE2978F    0xCF25
0xA1F2    ◎    U+25CE    0xE2978E    0xCE25
0xA1F3    ◇    U+25C7    0xE29787    0xC725
0xA1F4    ◆    U+25C6    0xE29786    0xC625
