0x8140    丂    U+4E02    0xE4B882    0x024E
0x8141    丄    U+4E04    0xE4B884    0x044E
0x8142    丅    U+4E05    0xE4B885    0x054E
0x8143    丆    U+4E06    0xE4B886    0x064E
0x8144    丏    U+4E0F    0xE4B88F    0x0F4E
0x8145    丒    U+4E12    0xE4B892    0x124E
0x8146    丗    U+4E17    0xE4B897    0x174E
0x8147    丟    U+4E1F    0xE4B89F    0x1F4E
0x8148    丠    U+4E20    0xE4B8A0    0x204E
0x8149    両    U+4E21    0xE4B8A1    0x214E
0x814A    丣    U+4E23    0xE4B8A3    0x234E
0x814B    並    U+4E26    0xE4B8A6    0x264E
0x814C    丩    U+4E29    0xE4B8A9    0x294E
0x814D    丮    U+4E2E    0xE4B8AE    0x2E4E
0x814E    丯    U+4E2F    0xE4B8AF    0x2F4E
0x814F    丱    U+4E31    0xE4B8B1    0x314E
0x8150    丳    U+4E33    0xE4B8B3    0x334E
0x8151    丵    U+4E35    0xE4B8B5    0x354E
0x8152    丷    U+4E37    0xE4B8B7    0x374E
0x8153    丼    U+4E3C    0xE4B8BC    0x3C4E
0x8154    乀    U+4E40    0xE4B980    0x404E
0x8155    乁    U+4E41    0xE4B981    0x414E
0x8156    乂    U+4E42    0xE4B982    0x424E
0x8157    乄    U+4E44    0xE4B984    0x444E
0x8158    乆    U+4E46    0xE4B986    0x464E
0x8159    乊    U+4E4A    0xE4B98A    0x4A4E
0x815A    乑    U+4E51    0xE4B991    0x514E
0x815B    乕    U+4E55    0xE4B995    0x554E
0x815C    乗    U+4E57    0xE4B997    0x574E
0x815D    乚    U+4E5A    0xE4B99A    0x5A4E
0x815E    乛    U+4E5B    0xE4B99B    0x5B4E
0x815F    乢    U+4E62    0xE4B9A2    0x624E
0x8160    乣    U+4E63    0xE4B9A3    0x634E
0x8161    乤    U+4E64    0xE4B9A4    0x644E
0x8162    乥    U+4E65    0xE4B9A5    0x654E
0x8163    乧    U+4E67    0xE4B9A7    0x674E
0x8164    乨    U+4E68    0xE4B9A8    0x684E
0x8165    乪    U+4E6A    0xE4B9AA    0x6A4E
0x8166    乫    U+4E6B    0xE4B9AB    0x6B4E
0x8167    乬    U+4E6C    0xE4B9AC    0x6C4E
0x8168    乭    U+4E6D    0xE4B9AD    0x6D4E
0x8169    乮    U+4E6E    0xE4B9AE    0x6E4E
0x816A    乯    U+4E6F    0xE4B9AF    0x6F4E
0x816B    乲    U+4E72    0xE4B9B2    0x724E
0x816C    乴    U+4E74    0xE4B9B4    0x744E
0x816D    乵    U+4E75    0xE4B9B5    0x754E
0x816E    乶    U+4E76    0xE4B9B6    0x764E
0x816F    乷    U+4E77    0xE4B9B7    0x774E
0x8170    乸    U+4E78    0xE4B9B8    0x784E
0x8171    乹    U+4E79    0xE4B9B9    0x794E
0x8172    乺    U+4E7A    0xE4B9BA    0x7A4E
0x8173    乻    U+4E7B    0xE4B9BB    0x7B4E
0x8174    乼    U+4E7C    0xE4B9BC    0x7C4E
0x8175    乽    U+4E7D    0xE4B9BD    0x7D4E
0x8176    乿    U+4E7F    0xE4B9BF    0x7F4E
0x8177    亀    U+4E80    0xE4BA80    0x804E
0x8178    亁    U+4E81    0xE4BA81    0x814E
0x8179    亂    U+4E82    0xE4BA82    0x824E
0x817A    亃    U+4E83    0xE4BA83    0x834E
0x817B    亄    U+4E84    0xE4BA84    0x844E
0x817C    亅    U+4E85    0xE4BA85    0x854E
0x817D    亇    U+4E87    0xE4BA87    0x874E
0x817E    亊    U+4E8A    0xE4BA8A    0x8A4E
0x8180    亐    U+4E90    0xE4BA90    0x904E
0x8181    亖    U+4E96    0xE4BA96    0x964E
0x8182    亗    U+4E97    0xE4BA97    0x974E
0x8183    亙    U+4E99    0xE4BA99    0x994E
0x8184    亜    U+4E9C    0xE4BA9C    0x9C4E
0x8185    亝    U+4E9D    0xE4BA9D    0x9D4E
0x8186    亞    U+4E9E    0xE4BA9E    0x9E4E
0x8187    亣    U+4EA3    0xE4BAA3    0xA34E
0x8188    亪    U+4EAA    0xE4BAAA    0xAA4E
0x8189    亯    U+4EAF    0xE4BAAF    0xAF4E
0x818A    亰    U+4EB0    0xE4BAB0    0xB04E
0x818B    亱    U+4EB1    0xE4BAB1    0xB14E
0x818C    亴    U+4EB4    0xE4BAB4    0xB44E
0x818D    亶    U+4EB6    0xE4BAB6    0xB64E
0x818E    亷    U+4EB7    0xE4BAB7    0xB74E
0x818F    亸    U+4EB8    0xE4BAB8    0xB84E
0x8190    亹    U+4EB9    0xE4BAB9    0xB94E
0x8191    亼    U+4EBC    0xE4BABC    0xBC4E
0x8192    亽    U+4EBD    0xE4BABD    0xBD4E
0x8193    亾    U+4EBE    0xE4BABE    0xBE4E
0x8194    仈    U+4EC8    0xE4BB88    0xC84E
0x8195    仌    U+4ECC    0xE4BB8C    0xCC4E
0x8196    仏    U+4ECF    0xE4BB8F    0xCF4E
0x8197    仐    U+4ED0    0xE4BB90    0xD04E
0x8198    仒    U+4ED2    0xE4BB92    0xD24E
0x8199    仚    U+4EDA    0xE4BB9A    0xDA4E
0x819A    仛    U+4EDB    0xE4BB9B    0xDB4E
0x819B    仜    U+4EDC    0xE4BB9C    0xDC4E
0x819C    仠    U+4EE0    0xE4BBA0    0xE04E
0x819D    仢    U+4EE2    0xE4BBA2    0xE24E
0x819E    仦    U+4EE6    0xE4BBA6    0xE64E
0x819F    仧    U+4EE7    0xE4BBA7    0xE74E
0x81A0    仩    U+4EE9    0xE4BBA9    0xE94E
0x81A1    仭    U+4EED    0xE4BBAD    0xED4E
0x81A2    仮    U+4EEE    0xE4BBAE    0xEE4E
0x81A3    仯    U+4EEF    0xE4BBAF    0xEF4E
0x81A4    仱    U+4EF1    0xE4BBB1    0xF14E
0x81A5    仴    U+4EF4    0xE4BBB4    0xF44E
0x81A6    仸    U+4EF8    0xE4BBB8    0xF84E
0x81A7    仹    U+4EF9    0xE4BBB9    0xF94E
0x81A8    仺    U+4EFA    0xE4BBBA    0xFA4E
0x81A9    仼    U+4EFC    0xE4BBBC    0xFC4E
0x81AA    仾    U+4EFE    0xE4BBBE    0xFE4E
0x81AB    伀    U+4F00    0xE4BC80    0x004F
0x81AC    伂    U+4F02    0xE4BC82    0x024F
0x81AD    伃    U+4F03    0xE4BC83    0x034F
0x81AE    伄    U+4F04    0xE4BC84    0x044F
0x81AF    伅    U+4F05    0xE4BC85    0x054F
0x81B0    伆    U+4F06    0xE4BC86    0x064F
0x81B1    伇    U+4F07    0xE4BC87    0x074F
0x81B2    伈    U+4F08    0xE4BC88    0x084F
0x81B3    伋    U+4F0B    0xE4BC8B    0x0B4F
0x81B4    伌    U+4F0C    0xE4BC8C    0x0C4F
0x81B5    伒    U+4F12    0xE4BC92    0x124F
0x81B6    伓    U+4F13    0xE4BC93    0x134F
0x81B7    伔    U+4F14    0xE4BC94    0x144F
0x81B8    伕    U+4F15    0xE4BC95    0x154F
0x81B9    伖    U+4F16    0xE4BC96    0x164F
0x81BA    伜    U+4F1C    0xE4BC9C    0x1C4F
0x81BB    伝    U+4F1D    0xE4BC9D    0x1D4F
0x81BC    伡    U+4F21    0xE4BCA1    0x214F
0x81BD    伣    U+4F23    0xE4BCA3    0x234F
